t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
186;1,884464285714286;2,3901499999999998;2,2799;2,53045;1,8055937805881557;1,8466946491680916;0,984797382902604;2,099548608092687
187;1,7074242424242423;2,2027727272727273;2,129227272727273;2,3147272727272727;1,5277278600278574;2,1254716482446754;2,5419648316447483;2,1084319313491586
188;1,9814761904761906;2,44925;2,40015;2,54755;1,8088549730184242;1,8391956488239574;1,0742005970204203;2,090340722372231
189;2,1819298245614034;2,7388947368421053;2,6478947368421055;2,817842105263158;1,5296302584897974;2,28867923138499;2,7428055135197527;2,3822577457869434
190;2,5833954451345758;3,1836521739130434;3,196739130434783;3,783956521739131;1,9107144197966022;2,097206592273616;1,5291620246092519;2,386440933269947
191;2,4232738095238093;3,1925;3,1795999999999998;3,4076;1,6462165996550762;2,5477436491233307;3,2197747342947705;2,6481744044720257
192;2,6083900226757373;3,828095238095238;3,7496666666666663;4,0343333333333335;1,9313331930014899;2,223285117988816;1,6775255091001184;2,511659244856931
193;2,73421768707483;4,081714285714286;4,0489999999999995;4,270238095238095;1,5766037808822455;2,517416917412942;3,157585333937245;2,530267622394055
194;2,4195;3,4838;3,28325;3,32965;1,9417183971376788;2,164251631459839;1,4967857190002405;2,4230524141361705
195;2,2301242236024845;3,0269565217391308;2,792782608695652;3,122826086956522;1,6021377804599504;2,505650837868504;3,0795772060300917;2,477969969415857
196;2,006145124716553;2,6424285714285713;2,5775714285714284;3,8842380952380955;1,8189298565677592;2,0117122515161947;1,3301333121371317;2,2583824308218654
197;2,0846371882086165;3,0128;2,8373;3,2267;1,6251261226542137;2,344263147404023;2,7765552659524118;2,486791999223333
198;2,0088208616780046;2,85195;2,4558;2,85405;1,7842773062486401;1,8354326042450417;0,9335358456205478;2,1554328106199936
199;1,8199319727891157;2,366190476190476;2,1568095238095237;2,248904761904762;1,4755940154207838;2,1407085245148503;2,594879353398643;2,1620241478819726
