t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
73;0,1772997663372231;0,06822027043719109;0,15294148983711928;0,07019366429321405;0,25752474422529814;0,06020664261547695;0,24199708201772957;0,08161392420331132;0,1985744766612366;0,06388967514150012;0,2487025100095053;0,09736332159821603
74;0,08803285842801468;0,03410929261473847;0,0913889994380366;0,034586798677906115;0,19955543127819664;0,0590863374465138;0,21934132206384094;0,08904790876815104;0,1531816017955535;0,07638642461942657;0,21041555578989415;0,10121980363630187
75;0,1654470208403966;0,061464950545690025;0,1829385656916015;0,07162826562274195;0,15943363207803576;0,06447478521569101;0,1915363831694413;0,08050057616534224;0,1311845574267931;0,07410947578780112;0,18957911010548276;0,09305579267146866
76;0,17601518171019295;0,05539038349549889;0,12628540470409821;0,07395256266707267;0,1786469639656975;0,04210554094526358;0,17792499509068804;0,049262470238580776;0,15532062294339216;0,07100949861142604;0,18332848016107978;0,07771650938930015
77;0,12890800966239355;0,03688554933216543;0,18288187506938647;0,06677092266512896;0,1598131680397618;0,07617518442338092;0,1540253852625331;0,12540839247653807;0,15306161590129108;0,0917925538798847;0,1394036084927629;0,1262824840410363
78;0,09640214128526833;0,09111658044320373;0,2341355577026916;0,1246087331754494;0,13661301858598507;0,07202537203830175;0,19696185354585197;0,11587929297647787;0,13684986865672863;0,05878000677480013;0,18340506786822694;0,09287454670699907
79;0,18523480509140827;0,11211798346130479;0,20146647066149176;0,1405797260697795;0,051279064300946864;0,11056749406052058;0,24624322440490157;0,125491680912219;0,08334547358962749;0,09113064232438724;0,23883662344016937;0,10454451384494459
80;0,1990672579773833;0,13754428129336557;0,24448991326317537;0,12043850402779117;0,12608530024649348;0,1142854354347872;0,2520257289614007;0,13711905979341826;0,15329977500130543;0,09134025212597473;0,22543874394838417;0,1156559857958541
81;0,14135172317423156;0,15766167464356196;0,18505751453162056;0,14523408099186952;0,1680937927957195;0,1329785132886584;0,20837591962792887;0,09443518737480319;0,21660545239349713;0,12815874769122063;0,22600706575552684;0,09396523701457163
82;0,11460697300909542;0,1432603938481668;0,1350207655489978;0,1225326109383026;0,14751004221273853;0,15968575069127008;0,18412782794270852;0,17136501580352134;0,18525870691375446;0,1466830893062974;0,20992749886924553;0,15702870123770696
83;0,1549201342867948;0,2798874283049868;0,22977894928741485;0,21286794501278972;0,12027513074786497;0,1342478527298563;0,166002893109825;0,13790148768856833;0,15403485319235793;0,13209645554877614;0,17563886017520333;0,13519945367876451
84;0,17983188762964247;0,2140873501484096;0,26485538255550034;0,11298405802509974;0,17827944002247934;0,1658657858258641;0,19175087545988717;0,12992774546434005;0,16245459379195556;0,16748041567164354;0,20032928630258032;0,14292144771781964
85;0,1755370401156236;0,1712988603647729;0,19307358021153442;0,10278442917161984;0,22520264887797284;0,1803693989114148;0,25990508736265366;0,10986857012597213;0,16622127765789174;0,18425384565279432;0,2658423556619131;0,1250909977677865
86;0,12671951700698011;0,1025470474363288;0,14983154671728388;0,06425577635097858;0,16680870127388175;0,16098192114960272;0,21930672783531158;0,11919525313663337;0,12061177014180102;0,1780709304800893;0,2109090252876163;0,13151703772513504
87;0,10208793983184271;0,03969486671745039;0,13931552058020036;0,02383505809135254;0,1394560476344508;0,14368207837020106;0,18761254426525692;0,0976217192007163;0,1112587739372941;0,15275343596320015;0,18593786951308006;0,10950660679412232
88;0,17591622085571226;0,07100680432589244;0,22170710776708896;0,0632287293569263;0,1329028227273501;0,09211444747859185;0,1771349983585988;0,07176155288245456;0,10959072516203076;0,1203312988108407;0,18261675949576903;0,09984258009965027
89;0,29264822906562155;0,08240914318510441;0,2602680163310674;0,09036897953567001;0,18453285047743118;0,09256599107525802;0,2579703562319426;0,09684242955754438;0,17752052485736902;0,10790515599776482;0,24277285694130898;0,0976687674410876
90;0,29300394426619913;0,08865499472955604;0,21436560792854223;0,09123764079318794;0,24764258675175607;0,11693067607339223;0,25968437932645805;0,12195831840432643;0,24760028976099271;0,10350362471276352;0,24608407571707488;0,09892282562391713
91;0,1915794953188976;0,1272861152546155;0,21602723003785262;0,12664994919382416;0,24702940947155144;0,09997555315636278;0,21954077909213676;0,09782977545981775;0,27897626686011434;0,08006682581572637;0,2124509812198102;0,07621126453993043
92;0,17418964483537097;0,11940448433495239;0,23772728716515462;0,1149346813695331;0,17857963555917677;0,133807630124087;0,24285173684449016;0,13664844853811428;0,20606207132939514;0,11138993951924335;0,21621634795839276;0,11629714302772394
93;0,14563383364923338;0,15228443472448733;0,24210275930208627;0,13600901618870426;0,1506920841493668;0,0931837254638931;0,1997684146313812;0,08563076835951179;0,19920990735258867;0,08794682317685101;0,21737330689208023;0,08421093313179402
94;0,20070527961697784;0,18631730610711045;0,19457191295689;0,2006525661934922;0,15023983922087394;0,147946194064179;0,2224245665707456;0,13060135204897394;0,18802377081583213;0,13585620470571347;0,24788658174031597;0,11728997944305637
95;0,23760038860069288;0,10023518981087731;0,33615352603049403;0,12264014034342492;0,18904939896382886;0,14875817798374621;0,21960436673697475;0,16302506853510412;0,22267807021823938;0,14680310169649688;0,22944935844783362;0,1616229108839662
96;0,22122134531738555;0,038836046550913994;0,24604803598998082;0,07903634381769745;0,255270880871489;0,12857219560355504;0,26665539334302246;0,14221632724257344;0,2393774657047535;0,12993326692912993;0,27474479469307383;0,15511340099479126
97;0,2464348174530779;0,052321337198979294;0,5047664878945849;0,10601336373063032;0,27596788647307774;0,08594222885594915;0,2573599871206528;0,12758846030319904;0,21706985071948756;0,08918514308004766;0,2633296045118224;0,14249425022451262
98;0,3375145237912119;0,06022055289834274;0,3871228664435648;0,12981219447056985;0,253623566819024;0,07275972698505452;0,30208474965967724;0,13070889997707869;0,20748435782476415;0,0899764272149178;0,29332965446795334;0,14309270764367685
99;0,241786759899814;0,09320980197857824;0,2702868364728379;0,13096432709573402;0,2781588567434844;0,07785612449102888;0,33058169550080657;0,13098170145030866;0,24982506625971285;0,08695227504255514;0,32849719530397625;0,1428466431412702
100;0,23242653301411426;0,1159643475555925;0,3098582731469302;0,16472123440850422;0,22684421079292372;0,07885985634156506;0,24823464104080104;0,12109018789709348;0,2037406695391808;0,10747904631174408;0,25450152857679176;0,14930626259279495
101;0,12031928709302246;0,08767521158966984;0,24164783270159643;0,1377331272272284;0,20690169562089017;0,12002922608388483;0,3138647579633084;0,18711319314345953;0,19992352711944542;0,13588034715189204;0,2981909351942984;0,18898658624610412
102;0,14236953395195157;0,13941979086091089;0,2867408739488905;0,21962563067183996;0,15460339919942037;0,1374475081308602;0,2723786723473383;0,19797217895987812;0,1547351020988949;0,12377779467128756;0,25917186077980436;0,17446105251402896
103;0,08242176905517037;0,1572257848952214;0,24746093948229164;0,18102926364368993;0,09748372638227042;0,14053952636083433;0,29117935079806856;0,2381167921230883;0,1295213155505618;0,12051437208551409;0,2838607880795352;0,21755323130241408
104;0,09375220793061692;0,1817230571527313;0,24455537282669712;0,1551075348171372;0,09985055710700466;0,17604342255063277;0,276044808668777;0,18965955007571242;0,12735781855526562;0,1542231750848807;0,24981029326105425;0,16785096705209995
105;0,03914261043798379;0,21609379705823883;0,20127146564952464;0,174460826138712;0,07950858868940941;0,18176441002904514;0,1899546867901034;0,14005386909516046;0,12803904943418568;0,17686346480438944;0,2080904002615757;0,13761645570260464
106;0,10687334474953958;0,16585888441689667;0,15524323562000178;0,17932799072065314;0,043858288586100254;0,23484492425347764;0,20138587931457802;0,1735735358253739;0,08183960370862217;0,22358014550958638;0,22672813524052152;0,16080129000322127
107;0,06549452587568534;0,1582762593266514;0,2703430847707302;0,15174953961001672;0,10040002317610135;0,18246353570780813;0,20003831696066718;0,17345202377695265;0,13383335814868347;0,1796877260642835;0,2101457093080762;0,17237222015425518
108;0,1089276416267744;0,18743800560961554;0,283663893857986;0,1912862946654031;0,12630008058540076;0,16654386815131914;0,26596698885490255;0,1424456444308686;0,11048442166593116;0,16765314978289664;0,27340638554606056;0,15483589996380137
109;0,1600403984782913;0,18823629452203514;0,3500153331551496;0,22066691251571108;0,15233675177942632;0,17413966702573008;0,2794204521357107;0,20031900632994962;0,09349871206714575;0,17746081353238935;0,2852452770212802;0,2169047856356244
110;0,14455109155796894;0,17442142049184592;0,2971922771763021;0,2152744275094659;0,1582983369369606;0,17290773932860232;0,3541730042532331;0,20790310070314347;0,11208054934518562;0,1902438904794628;0,3447063606744614;0,22032720251139376
111;0,11764482620000169;0,1837200541412639;0,24977099137407288;0,2091337104822506;0,1306313419814222;0,17845403832912038;0,2603800768235509;0,2175821805166524;0,10230596484956327;0,1873670286982264;0,25909213745028203;0,22963410455970307
112;0,12441405160364907;0,1550266340930583;0,2529273741983366;0,169973510041554;0,10367949600840956;0,18021467673286412;0,23044754741954104;0,17718135683932984;0,0806426226945686;0,2091199119565599;0,23697164805318416;0,20462481891342474
113;0,22469507478959302;0,15370901030932793;0,31492588768574603;0,1918401588328947;0,1420435098048772;0,13109019350444231;0,28772885421775896;0,19475028106521206;0,13483399734330648;0,14572215335622146;0,2716629972833933;0,19640245139237478
114;0,312049858765562;0,22874685172202172;0,3584958100587997;0,35736590256967316;0,2122015578695047;0,17690935113996523;0,300161284588595;0,20631241770061118;0,21201080182530768;0,16349701542340409;0,2867724354919395;0,18237775804107173
115;0,14211952924352036;0,24355696563157864;0,38510723514007483;0,4810847940365081;0,18750917029578806;0,18517238880073883;0,29445835442709745;0,23456614002792592;0,21949127801136692;0,1650943759720632;0,2870837712981865;0,2149855560044964
116;0,057148126162186015;0,19608469674038972;0,2308973724747944;0,20130941528929847;0,17273582394781536;0,1972451945980947;0,3240751134202202;0,24862744362841785;0,2002960566102564;0,1755820713804641;0,29770501852195985;0,2271113719261556
117;0,1234166912721208;0,18819136340982903;0,21349801590896694;0,1998364890455227;0,1047315706990494;0,18100822653490678;0,24319025074600234;0,2229361474805675;0,1534321400157011;0,17611427953080067;0,26174363523659566;0,2201711972329001
118;0,10697119003252971;0,11594989380213803;0,22270304810702354;0,15251232234172396;0,15252308815571186;0,20982899671817531;0,19095443811977103;0,20457298483835348;0,1903741730711918;0,19904967505278143;0,2168466496066803;0,19088784859518093
119;0,021372212506630635;0,1103331443030195;0,2588007748769972;0,17837266049653697;0,14198325407640655;0,1520855567808399;0,22497120162340883;0,18507927113010947;0,1754680969140069;0,1483894784044554;0,23499918675844528;0,18372027431780738
120;0,16799021533588185;0,1747151572324345;0,28818099080785015;0,22803667639738281;0,13277660527970295;0,13938673253563666;0,24590816846194632;0,17364202135016912;0,11719731238006917;0,14035562998568715;0,25318727373803646;0,1859672962970604
121;0,2556694423635721;0,17929294206164662;0,320243398079287;0,22675947930057047;0,2056857254632089;0,1500508664207965;0,2751831227800032;0,2148990725381812;0,14675931201124204;0,15363780840886135;0,2807074127947065;0,23281598517193608
122;0,19098421038380023;0,15609800524268486;0,34808195322243984;0,20475862421438454;0,24820021101413187;0,16295520659950807;0,3270031576112698;0,21490545659785534;0,20178250855348512;0,1808215923180566;0,3170453907894942;0,22721124130778872
123;0,20089967172148165;0,13056014276158592;0,2949204381502957;0,20844257465090907;0,15441301928124082;0,16527309845339289;0,3337280299840604;0,20365586873234864;0,12639531127470066;0,17408640125702868;0,33222113189779906;0,21543811258889228
124;0,2333419696525738;0,08844441792280182;0,2204382593045396;0,1954894419396123;0,20122763258791082;0,09730379256093832;0,27745802566291367;0,19896560911854927;0,17802628473716461;0,12539649205907347;0,28447660116081247;0,2267203498723559
125;0,15882429315632005;0,13160422775541455;0,2795109333786277;0,20429282886257247;0,2252728326097106;0,10051593672259153;0,23542855935935864;0,22059274926841754;0,21791770630358354;0,11495597726954887;0,22007153289473985;0,22208835273365687
126;0,04142747280076689;0,11234070564488356;0,2672895740466509;0,17566128723082408;0,1630481973876577;0,16183651474898159;0,27247959046502984;0,22027651079399968;0,16305141687252483;0,14907067599136345;0,25871149524996007;0,1955306717429071
127;0,07170319978038069;0,16150672441837438;0,2548943721133201;0,21538521138388803;0,08640702080190138;0,15177235275313372;0,26579802939902614;0,19688203284506878;0,11855084216541908;0,13139332215296712;0,258423650626484;0,17678240137181517
128;0,12121020883600808;0,1585096335899698;0,29525876362991893;0,2086465584842565;0,07014625497592772;0,1664856518772388;0,26291770817166205;0,24154396402942585;0,09778763790536164;0,14511642766325045;0,23676854448503357;0,22131102254298657
129;0,1240503084099737;0,13224988623117231;0,31605013699972767;0,20455121151532818;0,11684639257818291;0,14641328831648404;0,2521972315725197;0,1825833754080747;0,1652974434661739;0,14149671475700087;0,27041066712920875;0,17866078689010595
130;0,09832763933297743;0,16306568162045212;0,346166236662105;0,24278222830187016;0,1356370679276645;0,12423143513736903;0,30077873502233105;0,21379683719778844;0,17344282128350264;0,1130256944123654;0,32609426992974877;0,20068585912871628
131;0,15040042636406717;0,18213508819783367;0,35166302674216865;0,20954246262014653;0,10269093076948663;0,1610821630237343;0,338809167415748;0,21670863916512942;0,1363110902530172;0,15822511131050634;0,3485637010298415;0,21571265999391134
132;0,2975276337080518;0,1908396074849115;0,34789042094904055;0,24920650169937236;0,22813638679959608;0,1854327814445648;0,3411562186075421;0,1797202549121073;0,21227541400365812;0,18690214086785703;0,34838816704618647;0,19130925855003703
133;0,32367519552381485;0,2017902154367088;0,3573004418827402;0,29032951756041103;0,30399715556368084;0,1735310156250526;0,3259332569446863;0,21978855104367068;0,2449347837983202;0,17692414556883646;0,33158415062764496;0,2390971990016626
134;0,3962335160350569;0,2206464533505558;0,3449391562087934;0,3024545829584514;0,2975761734194164;0,1853642323069699;0,35349777408479055;0,2516060103995471;0,2511039062573326;0,20374641492520748;0,3433433181286407;0,26467802335965346
135;0,3079954935454737;0,21434131614770574;0,33722692436091267;0,2673468077570098;0,3288762951962237;0,2103089125731955;0,32307185578880737;0,25563153557622426;0,3006611837777471;0,21940808262919112;0,3217131517658374;0,26751190362487864
136;0,19137474940810134;0,16064556894777104;0,2742606366116398;0,19146388192593133;0,26347891104797094;0,1943778104404789;0,3280835382210977;0,24997093476591592;0,24049001515468607;0,22243644914411762;0,33493649887321975;0,2780563732262348
137;0,1511501305448868;0,14144798430068728;0,22865104390830268;0,1941074469744272;0,20072018432036517;0,18453138179581804;0,3115154949838895;0,2441292680093405;0,19352941726455483;0,19842448761169695;0,2966211116166481;0,2447088652232374
138;0,0995234946435527;0,13567200875986377;0,1759093619360885;0,17442351205856294;0,16819839096992426;0,18231331024862263;0,26428480682005256;0,25097418003535105;0,1683105125070608;0,16896611028847724;0,2510795753391484;0,22563105030429176
139;0,059811766891323746;0,11088952513187622;0,20166085008064308;0,14961922851738974;0,11323205527820675;0,17352041358250084;0,22885707273796455;0,2223846156502545;0,1454977897429786;0,15278611850708912;0,2219170773784293;0,20148772901540216
140;0,07168923604131817;0,13652481763287572;0,18577249969687148;0,1696067839360196;0,09553308409322314;0,14049956690360374;0,24206121647590917;0,19845806503853933;0,12330841204867919;0,11848002814585767;0,21613739945208682;0,1775354234423447
141;0,06502851962422272;0,16480839823538904;0,16263055305157326;0,17524267063163482;0,05634822385898407;0,12567520938419063;0,1469199535929828;0,1640053904099948;0,10490100755542582;0,12078340521255111;0,16582048198074759;0,1594536946299607
142;0,053011973548696904;0,144557490243849;0,13918143428732158;0,16280203102228893;0,08829160621156104;0,1942212160221971;0,17875318151424202;0,17554502094366686;0,12604205734063556;0,18408990285254923;0,2037641561722327;0,16244987080412213
